"Date (MMM DD, YYYY)",Transaction Type,Stock / ETF Symbol,Quantity of Units,Amount per unit,Total Amount,Fees,Investment Account,Split Ratio (new shares per old share),Note
"Feb 5, 2018",Buy,ES-Fixed_Income,0.0017396,11.4966,0.02,0,SET,,
"Feb 5, 2018",Buy,ES-Tresury,0.0017259,11.5878,0.02,0,SET,,
"Feb 15, 2018",Buy,$CASH,860.55,1,860.55,0,E*TRADE,,
"Feb 15, 2018",Dividend,AAPL,,,860.55,,E*TRADE,,
"Feb 26, 2018",Buy,ES-Fixed_Income,91.0775488,11.5023,1047.6,0,SET,,
"Feb 26, 2018",Buy,ES-SET50,6.922669,37.7944,261.64,0,SET,,
"Feb 26, 2018",Buy,ES-Tresury,90.3608698,11.5935,1047.6,0,SET,,
"Feb 26, 2018",Buy,ES-JUMBO25,7.1674072,36.5039,261.64,0,SET,,
"Mar 2, 2018",Buy,$CASH,15793.85,1,15793.85,0,E*TRADE,,
"Mar 2, 2018",Sell,BAC,500,31.5738,15793.85,6.95,E*TRADE,,
"Mar 2, 2018",Withdrawal,$CASH,16025,1,16025,0,E*TRADE,,
"Mar 13, 2018",Sell,UOBCG,677.69,63.2185,42842.27,0,SET,,
"Mar 20, 2018",Buy,$CASH,16074.57,1,16074.57,0,E*TRADE,,
"Mar 20, 2018",Sell,BAC,500,32.1338,16074.57,7.67,E*TRADE,,
"Mar 20, 2018",Withdrawal,$CASH,16025,1,16025,0,E*TRADE,,
"Mar 26, 2018",Sell,$CASH,24.61,1,24.61,0,E*TRADE,,
"Mar 28, 2018",Buy,ES-Fixed_Income,91.0187932,11.5097,1047.6,0,SET,,
"Mar 28, 2018",Buy,ES-SET50,7.0474426,37.1253,261.64,0,SET,,
"Mar 28, 2018",Buy,ES-Tresury,90.2980806,11.6016,1047.6,0,SET,,
"Mar 28, 2018",Buy,ES-JUMBO25,7.2195314,36.2404,261.64,0,SET,,
"Apr 2, 2018",Buy,$CASH,239.7,1,239.7,0,E*TRADE,,
"Apr 2, 2018",Dividend,BAC,,,239.7,,E*TRADE,,
"Apr 26, 2018",Buy,ES-Fixed_Income,90.9643656,11.5166,1047.6,0,SET,,
"Apr 26, 2018",Buy,ES-SET50,7.0432364,37.1475,261.64,0,SET,,
"Apr 26, 2018",Buy,ES-Tresury,90.2413638,11.6089,1047.6,0,SET,,
"Apr 26, 2018",Buy,ES-JUMBO25,7.1792482,36.4437,261.64,0,SET,,
"May 17, 2018",Buy,$CASH,997.14,1,997.14,0,E*TRADE,,
"May 17, 2018",Dividend,AAPL,,,997.14,,E*TRADE,,
"May 22, 2018",Buy,ES-Fixed_Income,0.0017356,11.5228,0.02,0,SET,,
"May 22, 2018",Buy,ES-SET50,0.0002696,37.047,0.01,0,SET,,
"May 22, 2018",Buy,ES-Tresury,0.0017218,11.6156,0.02,0,SET,,
"May 22, 2018",Buy,ES-JUMBO25,0.0002748,36.3461,0.01,0,SET,,
"May 25, 2018",Dividend,GENCO:BKK,,,900,,SET,,
"May 28, 2018",Buy,ES-Fixed_Income,90.9027868,11.5244,1047.6,0,SET,,
"May 28, 2018",Buy,ES-SET50,7.2119914,36.2782,261.64,0,SET,,
"May 28, 2018",Buy,ES-Tresury,90.1760796,11.6173,1047.6,0,SET,,
"May 28, 2018",Buy,ES-JUMBO25,7.3765792,35.4688,261.64,0,SET,,
"May 31, 2018",Dividend,UOBBC,,,1383.51,,SET,,
"Jun 6, 2018",Buy,TCAP:BKK,7800,51.25,399750,671.55,SET,,
"Jun 8, 2018",Dividend,AAV:BKK,,,4590,,SET,,
"Jun 12, 2018",Buy,CPALL:BKK,5000,79.5,397500,667.77,SET,,
"Jun 27, 2018",Buy,ES-Fixed_Income,90.837475,11.5327,1047.6,0,SET,,
"Jun 27, 2018",Buy,ES-SET50,7.7529438,33.747,261.64,0,SET,,
"Jun 27, 2018",Buy,ES-Tresury,90.1089058,11.6259,1047.6,0,SET,,
"Jun 27, 2018",Buy,ES-JUMBO25,7.912927,33.0647,261.64,0,SET,,
"Jun 29, 2018",Buy,$CASH,137.7,1,137.7,0,E*TRADE,,
"Jun 29, 2018",Dividend,BAC,,,137.7,,E*TRADE,,
"Jul 25, 2018",Buy,ES-Fixed_Income,90.7747246,11.5407,1047.6,0,SET,,
"Jul 25, 2018",Buy,ES-SET50,7.3555622,35.5701,261.64,0,SET,,
"Jul 25, 2018",Buy,ES-Tresury,90.0417478,11.6346,1047.6,0,SET,,
"Jul 25, 2018",Buy,ES-JUMBO25,7.4609042,35.0679,261.64,0,SET,,
"Aug 16, 2018",Buy,$CASH,997.14,1,997.14,0,E*TRADE,,
"Aug 16, 2018",Dividend,AAPL,,,997.14,,E*TRADE,,
"Aug 29, 2018",Buy,ES-Fixed_Income,90.6930894,11.551,1047.6,0,SET,,
"Aug 29, 2018",Buy,ES-SET50,7.1683702,36.499,261.64,0,SET,,
"Aug 29, 2018",Buy,ES-Tresury,89.9555616,11.6458,1047.6,0,SET,,
"Aug 29, 2018",Buy,ES-JUMBO25,7.2914714,35.8828,261.64,0,SET,,
"Sep 26, 2018",Buy,ES-Fixed_Income,90.6280462,11.5593,1047.6,0,SET,,
"Sep 26, 2018",Buy,ES-SET50,7.0677318,37.0187,261.64,0,SET,,
"Sep 26, 2018",Buy,ES-Tresury,89.886722,11.6547,1047.6,0,SET,,
"Sep 26, 2018",Buy,ES-JUMBO25,7.2340996,36.1674,261.64,0,SET,,
"Sep 29, 2018",Buy,$CASH,172.12,1,172.12,0,E*TRADE,,
"Sep 29, 2018",Dividend,BAC,,,172.12,,E*TRADE,,
"Oct 3, 2018",Dividend,AAV:BKK,,,3098.25,,SET,,
"Oct 16, 2018",Buy,BRK.B,15,209.38,3133.75,6.95,E*TRADE,,
"Oct 16, 2018",Sell,$CASH,3133.75,1,3133.75,0,E*TRADE,,
"Oct 17, 2018",Dividend,TCAP:BKK,,,7020,,SET,,
"Oct 30, 2018",Buy,ES-Fixed_Income,90.5495676,11.5694,1047.6,0,SET,,
"Oct 30, 2018",Buy,ES-SET50,7.5584912,34.6152,261.64,0,SET,,
"Oct 30, 2018",Buy,ES-Tresury,89.8034226,11.6655,1047.6,0,SET,,
"Oct 30, 2018",Buy,ES-JUMBO25,7.7631724,33.7025,261.64,0,SET,,
"Nov 2, 2018",Buy,CPALL:BKK,3000,66.5,199500,335.15,SET,,
"Nov 8, 2018",Buy,$CASH,0.34,1,0.34,0,E*TRADE,,
"Nov 8, 2018",Dividend,$CASH,0.34,1,0.34,0,E*TRADE,,
"Nov 15, 2018",Buy,$CASH,997.14,1,997.14,0,E*TRADE,,
"Nov 15, 2018",Dividend,AAPL,,,997.14,,E*TRADE,,
"Nov 28, 2018",Buy,ES-Fixed_Income,97.6024892,11.5792,1130.16,0,SET,,
"Nov 28, 2018",Buy,ES-SET50,8.0644608,35.0002,282.26,0,SET,,
"Nov 28, 2018",Buy,ES-Tresury,96.7917336,11.6762,1130.16,0,SET,,
"Nov 28, 2018",Buy,ES-JUMBO25,8.297714,34.0163,282.26,0,SET,,
"Dec 3, 2018",Buy,ES-Fixed_Income,7381.335244,12.3355,91052.46,0,SET,,
"Dec 3, 2018",Sell,ES-Fixed_Income,7861.854421,11.5816,91052.85,0,SET,,
"Dec 20, 2018",Buy,UOBBC,7133.48,21.0276,150000,0,SET,,
"Dec 27, 2018",Buy,SCBRM1,9830.48,13.7328,135000,0,SET,,
"Dec 27, 2018",Buy,ES-SET50,16.3657294,33.2338,543.9,0,SET,,
"Dec 27, 2018",Buy,ES-Tresury,93.1728278,11.6867,1088.88,0,SET,,
"Dec 27, 2018",Buy,ES-JUMBO25,8.3905966,32.4111,271.95,0,SET,,
"Dec 27, 2018",Buy,ES-Fixed_Income,66.079309,12.3588,816.66,0,SET,,
"Dec 28, 2018",Buy,$CASH,172.12,1,172.12,0,E*TRADE,,
"Dec 28, 2018",Dividend,BAC,,,172.12,,E*TRADE,,
"Jan 2, 2019",Buy,ES-SET50,597.3744137,33.65,20101.65,0,SET,,
"Jan 2, 2019",Buy,ES-JUMBO25,0.0003045,32.7994,0.01,0,SET,,
"Jan 2, 2019",Sell,ES-JUMBO25,128.7731282,32.7994,4223.68,0,SET,,
"Jan 2, 2019",Sell,ES-Fixed_Income,1606.278991,12.376,19879.31,0,SET,,
"Jan 3, 2019",Buy,ES-Tresury,340.2282998,11.6893,3977.03,0,SET,,
"Jan 15, 2019",Sell,UOBCG,1088.18,55.1322,59993.59,0,SET,,
"Jan 29, 2019",Buy,ES-SET50,15.5830208,34.9031,543.9,0,SET,,
"Jan 29, 2019",Buy,ES-Tresury,93.0785648,11.6985,1088.88,0,SET,,
"Jan 29, 2019",Buy,ES-JUMBO25,7.9838608,34.0622,271.95,0,SET,,
"Jan 29, 2019",Buy,ES-Fixed_Income,65.9187436,12.3889,816.66,0,SET,,
"Feb 14, 2019",Buy,$CASH,997.14,1,997.14,0,E*TRADE,,
"Feb 14, 2019",Dividend,AAPL,,,997.14,,E*TRADE,,
"Feb 18, 2019",Buy,ES-Tresury,0.0008542,11.7066,0.01,0,SET,,
"Feb 26, 2019",Buy,ES-SET50,15.242885,35.682,543.9,0,SET,,
"Feb 26, 2019",Buy,ES-Tresury,92.9892036,11.7097,1088.88,0,SET,,
"Feb 26, 2019",Buy,ES-JUMBO25,7.8267572,34.7459,271.95,0,SET,,
"Feb 26, 2019",Buy,ES-Fixed_Income,65.9334106,12.3861,816.66,0,SET,,
"Mar 27, 2019",Buy,ES-SET50,15.475545,35.1455,543.9,0,SET,,
"Mar 27, 2019",Buy,ES-Tresury,92.8926076,11.7219,1088.88,0,SET,,
"Mar 27, 2019",Buy,ES-JUMBO25,7.9613048,34.1587,271.95,0,SET,,
"Mar 27, 2019",Buy,ES-Fixed_Income,65.7286528,12.4247,816.66,0,SET,,
"Mar 29, 2019",Buy,$CASH,172.12,1,172.12,0,E*TRADE,,
"Mar 29, 2019",Dividend,BAC,,,172.12,,E*TRADE,,
"Apr 26, 2019",Buy,ES-SET50,15.0958102,36.0296,543.9,0,SET,,
"Apr 26, 2019",Buy,ES-Tresury,92.7914476,11.7347,1088.88,0,SET,,
"Apr 26, 2019",Buy,ES-JUMBO25,7.801182,34.8599,271.95,0,SET,,
"Apr 26, 2019",Buy,ES-Fixed_Income,65.6314466,12.4431,816.66,0,SET,,
"May 8, 2019",Sell,CPALL:BKK,2600,77.25,200850,337.41,SET,,
"May 16, 2019",Buy,BRK.B,17,202.6715,3438.47,6.95,E*TRADE,,
"May 16, 2019",Buy,$CASH,1051.78,1,1051.78,0,E*TRADE,,
"May 16, 2019",Dividend,AAPL,,,1051.78,,E*TRADE,,
"May 16, 2019",Sell,$CASH,3438.47,1,3438.47,0,E*TRADE,,
"May 17, 2019",Dividend,TCAP:BKK,,,11232,,SET,,
"May 22, 2019",Dividend,CPALL:BKK,,,8640,,SET,,
"May 24, 2019",Dividend,GENCO:BKK,,,1800,,SET,,
"May 29, 2019",Buy,ES-SET50,15.929375,35.1752,560.32,0,SET,,
"May 29, 2019",Buy,ES-Tresury,95.4789496,11.7488,1121.76,0,SET,,
"May 29, 2019",Buy,ES-JUMBO25,8.2025704,34.1551,280.16,0,SET,,
"May 29, 2019",Buy,ES-Fixed_Income,67.4389854,12.4753,841.32,0,SET,,
"Jun 26, 2019",Buy,ES-SET50,14.9792694,37.4063,560.32,0,SET,,
"Jun 26, 2019",Buy,ES-Tresury,95.3773082,11.7613,1121.76,0,SET,,
"Jun 26, 2019",Buy,ES-JUMBO25,7.7591248,36.1071,280.16,0,SET,,
"Jun 26, 2019",Buy,ES-Fixed_Income,67.1333614,12.5321,841.32,0,SET,,
"Jun 28, 2019",Buy,$CASH,172.12,1,172.12,0,E*TRADE,,
"Jun 28, 2019",Dividend,BAC,,,172.12,,E*TRADE,,
"Jul 3, 2019",Buy,ES-Tresury,0.00085,11.7645,0.01,0,SET,,
"Jul 5, 2019",Buy,PTT:BKK,4100,48.5,198850,334.04,SET,,
"Jul 5, 2019",Buy,ZEN:BKK,7300,13.7,100010,168.01,SET,,
"Jul 22, 2019",Buy,ZEN:BKK,26300,17.9,470770,790.85,SET,,
"Jul 22, 2019",Buy,TCAP:BKK,1800,55.25,99450,167.07,SET,,
"Jul 22, 2019",Buy,SCBRMS50,7001.49,19.4463,136153.11,0,SET,,
"Jul 22, 2019",Sell,CPALL:BKK,5400,87.25,471150,791.49,SET,,
"Jul 22, 2019",Sell,SCBRM1,9830.48,13.8501,136153.11,0,SET,,
"Jul 26, 2019",Buy,ES-SET50,15.144793,36.9975,560.32,0,SET,,
"Jul 26, 2019",Buy,ES-Tresury,95.2668594,11.7749,1121.76,0,SET,,
"Jul 26, 2019",Buy,ES-JUMBO25,7.9235846,35.3577,280.16,0,SET,,
"Jul 26, 2019",Buy,ES-Fixed_Income,67.007648,12.5556,841.32,0,SET,,
"Aug 15, 2019",Buy,$CASH,0.61,1,0.61,0,E*TRADE,,
"Aug 15, 2019",Buy,$CASH,1051.78,1,1051.78,0,E*TRADE,,
"Aug 15, 2019",Dividend,AAPL,,,1051.78,,E*TRADE,,
"Aug 15, 2019",Dividend,$CASH,0.61,1,0.61,0,E*TRADE,,
"Aug 28, 2019",Buy,ES-SET50,15.985861,35.051,560.32,0,SET,,
"Aug 28, 2019",Buy,ES-Tresury,95.138329,11.7908,1121.76,0,SET,,
"Aug 28, 2019",Buy,ES-JUMBO25,8.4067768,33.3255,280.16,0,SET,,
"Aug 28, 2019",Buy,ES-Fixed_Income,66.677779,12.6177,841.32,0,SET,,
"Sep 27, 2019",Buy,$CASH,206.55,1,206.55,0,E*TRADE,,
"Sep 27, 2019",Buy,ES-SET50,15.5470376,36.0403,560.32,0,SET,,
"Sep 27, 2019",Buy,ES-Tresury,95.0427078,11.8027,1121.76,0,SET,,
"Sep 27, 2019",Buy,ES-JUMBO25,8.2030782,34.153,280.16,0,SET,,
"Sep 27, 2019",Buy,ES-Fixed_Income,66.6444448,12.624,841.32,0,SET,,
"Sep 27, 2019",Dividend,BAC,,,206.55,,E*TRADE,,
"Oct 18, 2019",Dividend,TCAP:BKK,,,8424,,SET,,
"Oct 18, 2019",Dividend,TCAP:BKK,,,1944,0,SET,,
"Oct 25, 2019",Dividend,PTT:BKK,,,3321,0,SET,,
"Oct 29, 2019",Buy,ES-SET50,16.5278228,35.2144,582.02,0,SET,,
"Oct 29, 2019",Buy,ES-Tresury,98.626127,11.8143,1165.2,0,SET,,
"Oct 29, 2019",Buy,ES-JUMBO25,8.7811716,33.1401,291.01,0,SET,,
"Oct 29, 2019",Buy,ES-Fixed_Income,69.1761292,12.633,873.9,0,SET,,
"Nov 14, 2019",Buy,$CASH,1051.78,1,1051.78,0,E*TRADE,,
"Nov 14, 2019",Dividend,AAPL,,,1051.78,,E*TRADE,,
"Nov 27, 2019",Buy,ES-SET50,16.268466,35.7758,582.02,0,SET,,
"Nov 27, 2019",Buy,ES-Tresury,98.5384146,11.8248,1165.2,0,SET,,
"Nov 27, 2019",Buy,ES-JUMBO25,8.6361928,33.6964,291.01,0,SET,,
"Nov 27, 2019",Buy,ES-Fixed_Income,69.0334302,12.6591,873.9,0,SET,,
"Dec 2, 2019",Buy,UOBBC,4898,20.4165,100000,0,SET,,
"Dec 2, 2019",Buy,SCBRMS50,2756.05,18.1419,50000,0,SET,,
"Dec 3, 2019",Sell,UOBBC,4904.56,20.3892,100000,0,SET,,
"Dec 6, 2019",Buy,UOBCG,1786.74,55.968,100000,0,SET,,
"Dec 17, 2019",Buy,UOBBC,2463.7,20.2947,50000,0,SET,,
"Dec 24, 2019",Buy,SCBRMS50,4909.47,18.3319,90000,0,SET,,
"Dec 25, 2019",Buy,ES-SET50,16.5011474,35.2714,582.02,0,SET,,
"Dec 25, 2019",Buy,ES-Tresury,98.4590238,11.8344,1165.2,0,SET,,
"Dec 25, 2019",Buy,ES-JUMBO25,8.7549496,33.2394,291.01,0,SET,,
"Dec 25, 2019",Buy,ES-Fixed_Income,68.822217,12.6979,873.9,0,SET,,
"Dec 27, 2019",Buy,$CASH,206.55,1,206.55,0,E*TRADE,,
"Dec 27, 2019",Dividend,BAC,,,206.55,,E*TRADE,,
"Jan 16, 2020",Dividend,TCAP:BKK,,,28080,,SET,,
"Jan 16, 2020",Dividend,TCAP:BKK,,,6480,0,SET,,
"Jan 29, 2020",Buy,ES-SET50,17.1681826,33.901,582.02,0,SET,,
"Jan 29, 2020",Buy,ES-Tresury,98.3716074,11.8449,1165.2,0,SET,,
